stimulus,CID,dilution,cmp_ids,dilution_info
A11086,[11086],[1e-05],[236],"[[1e-05], [0]]"
B11086,[11086],[0.001],[236],"[[0.001], [0]]"
A11124,[11124],[1e-05],[237],"[[1e-05], [0]]"
B11124,[11124],[0.001],[237],"[[0.001], [0]]"
A11419,[11419],[1e-05],[238],"[[1e-05], [0]]"
B11419,[11419],[0.001],[238],"[[0.001], [0]]"
A11428,[11428],[1e-05],[239],"[[1e-05], [0]]"
B11428,[11428],[0.001],[239],"[[0.001], [0]]"
A11525,[11525],[1e-05],[240],"[[1e-05], [0]]"
B11525,[11525],[0.001],[240],"[[0.001], [0]]"
A11527,[11527],[1e-05],[241],"[[1e-05], [0]]"
B11527,[11527],[0.001],[241],"[[0.001], [0]]"
A11529,[11529],[1e-05],[242],"[[1e-05], [0]]"
B11529,[11529],[0.001],[242],"[[0.001], [0]]"
A11567,[11567],[1e-05],[243],"[[1e-05], [0]]"
B11567,[11567],[0.001],[243],"[[0.001], [0]]"
A11569,[11569],[1e-05],[244],"[[1e-05], [0]]"
B11569,[11569],[0.001],[244],"[[0.001], [0]]"
A11583,[11583],[1e-05],[245],"[[1e-05], [0]]"
B11583,[11583],[0.001],[245],"[[0.001], [0]]"
A11614,[11614],[1e-05],[246],"[[1e-05], [0]]"
B11614,[11614],[0.001],[246],"[[0.001], [0]]"
A11617,[11617],[1e-07],[247],"[[1e-07], [0]]"
B11617,[11617],[1e-05],[247],"[[1e-05], [0]]"
A11902,[11902],[1e-05],[248],"[[1e-05], [0]]"
B11902,[11902],[0.001],[248],"[[0.001], [0]]"
A11980,[11980],[0.001],[249],"[[0.001], [0]]"
B11980,[11980],[0.1],[249],"[[0.1], [0]]"
A12020,[12020],[1e-05],[250],"[[1e-05], [0]]"
B12020,[12020],[0.001],[250],"[[0.001], [0]]"
A12097,[12097],[1e-05],[251],"[[1e-05], [0]]"
B12097,[12097],[0.001],[251],"[[0.001], [0]]"
A12178,[12178],[1e-05],[252],"[[1e-05], [0]]"
B12178,[12178],[0.001],[252],"[[0.001], [0]]"
A12180,[12180],[1e-05],[253],"[[1e-05], [0]]"
B12180,[12180],[0.001],[253],"[[0.001], [0]]"
A12206,[12206],[1e-05],[254],"[[1e-05], [0]]"
B12206,[12206],[0.001],[254],"[[0.001], [0]]"
A12265,[12265],[1e-05],[255],"[[1e-05], [0]]"
B12265,[12265],[0.001],[255],"[[0.001], [0]]"
A12297,[12297],[1e-05],[256],"[[1e-05], [0]]"
B12297,[12297],[0.001],[256],"[[0.001], [0]]"
A12327,[12327],[0.001],[257],"[[0.001], [0]]"
B12327,[12327],[0.1],[257],"[[0.1], [0]]"
A12348,[12348],[1e-05],[258],"[[1e-05], [0]]"
B12348,[12348],[0.001],[258],"[[0.001], [0]]"
A12377,[12377],[1e-05],[259],"[[1e-05], [0]]"
B12377,[12377],[0.001],[259],"[[0.001], [0]]"
A12506,[12506],[1e-05],[260],"[[1e-05], [0]]"
B12506,[12506],[0.001],[260],"[[0.001], [0]]"
A12580,[12580],[1e-05],[261],"[[1e-05], [0]]"
B12580,[12580],[0.001],[261],"[[0.001], [0]]"
A12587,[12587],[1e-07],[262],"[[1e-07], [0]]"
B12587,[12587],[1e-05],[262],"[[1e-05], [0]]"
A12741,[12741],[1e-05],[263],"[[1e-05], [0]]"
B12741,[12741],[0.001],[263],"[[0.001], [0]]"
A12748,[12748],[1e-05],[264],"[[1e-05], [0]]"
B12748,[12748],[0.001],[264],"[[0.001], [0]]"
A12810,[12810],[1e-05],[265],"[[1e-05], [0]]"
B12810,[12810],[0.001],[265],"[[0.001], [0]]"
A12813,[12813],[1e-05],[266],"[[1e-05], [0]]"
B12813,[12813],[0.001],[266],"[[0.001], [0]]"
A13187,[13187],[1e-05],[267],"[[1e-05], [0]]"
B13187,[13187],[0.001],[267],"[[0.001], [0]]"
A13204,[13204],[1e-05],[268],"[[1e-05], [0]]"
B13204,[13204],[0.001],[268],"[[0.001], [0]]"
A13216,[13216],[1e-05],[269],"[[1e-05], [0]]"
B13216,[13216],[0.001],[269],"[[0.001], [0]]"
A13436,[13436],[1e-05],[270],"[[1e-05], [0]]"
B13436,[13436],[0.001],[270],"[[0.001], [0]]"
A13561,[13561],[1e-05],[271],"[[1e-05], [0]]"
B13561,[13561],[0.001],[271],"[[0.001], [0]]"
A14104,[14104],[1e-05],[272],"[[1e-05], [0]]"
B14104,[14104],[0.001],[272],"[[0.001], [0]]"
A14228,[14228],[1e-05],[273],"[[1e-05], [0]]"
B14228,[14228],[0.001],[273],"[[0.001], [0]]"
A14257,[14257],[0.001],[274],"[[0.001], [0]]"
B14257,[14257],[0.1],[274],"[[0.1], [0]]"
A14286,[14286],[1e-05],[275],"[[1e-05], [0]]"
B14286,[14286],[0.001],[275],"[[0.001], [0]]"
A14296,[14296],[0.001],[276],"[[0.001], [0]]"
B14296,[14296],[0.1],[276],"[[0.1], [0]]"
A14328,[14328],[0.001],[277],"[[0.001], [0]]"
B14328,[14328],[0.1],[277],"[[0.1], [0]]"
A14491,[14491],[1e-07],[278],"[[1e-07], [0]]"
B14491,[14491],[1e-05],[278],"[[1e-05], [0]]"
A14514,[14514],[1e-05],[279],"[[1e-05], [0]]"
B14514,[14514],[0.001],[279],"[[0.001], [0]]"
A14525,[14525],[1e-05],[280],"[[1e-05], [0]]"
B14525,[14525],[0.001],[280],"[[0.001], [0]]"
A15037,[15037],[1e-05],[281],"[[1e-05], [0]]"
B15037,[15037],[0.001],[281],"[[0.001], [0]]"
A15380,[15380],[1e-07],[282],"[[1e-07], [0]]"
B15380,[15380],[1e-05],[282],"[[1e-05], [0]]"
A15510,[15510],[1e-07],[283],"[[1e-07], [0]]"
B15510,[15510],[1e-05],[283],"[[1e-05], [0]]"
A15606,[15606],[1e-05],[284],"[[1e-05], [0]]"
B15606,[15606],[0.001],[284],"[[0.001], [0]]"
A15654,[15654],[1e-05],[285],"[[1e-05], [0]]"
B15654,[15654],[0.001],[285],"[[0.001], [0]]"
A15717,[15717],[1e-07],[286],"[[1e-07], [0]]"
B15717,[15717],[1e-05],[286],"[[1e-05], [0]]"
A16255,[16255],[0.001],[287],"[[0.001], [0]]"
B16255,[16255],[0.1],[287],"[[0.1], [0]]"
A16324,[16324],[1e-05],[288],"[[1e-05], [0]]"
B16324,[16324],[0.001],[288],"[[0.001], [0]]"
A16537,[16537],[1e-05],[289],"[[1e-05], [0]]"
B16537,[16537],[0.001],[289],"[[0.001], [0]]"
A16741,[16741],[1e-05],[290],"[[1e-05], [0]]"
B16741,[16741],[0.001],[290],"[[0.001], [0]]"
A17121,[17121],[1e-05],[291],"[[1e-05], [0]]"
B17121,[17121],[0.001],[291],"[[0.001], [0]]"
A17525,[17525],[1e-05],[292],"[[1e-05], [0]]"
B17525,[17525],[0.001],[292],"[[0.001], [0]]"
A17617,[17617],[1e-05],[293],"[[1e-05], [0]]"
B17617,[17617],[0.001],[293],"[[0.001], [0]]"
A17898,[17898],[1e-05],[294],"[[1e-05], [0]]"
B17898,[17898],[0.001],[294],"[[0.001], [0]]"
A18467,[18467],[1e-05],[295],"[[1e-05], [0]]"
B18467,[18467],[0.001],[295],"[[0.001], [0]]"
A18554,[18554],[1e-05],[296],"[[1e-05], [0]]"
B18554,[18554],[0.001],[296],"[[0.001], [0]]"
A18635,[18635],[1e-07],[297],"[[1e-07], [0]]"
B18635,[18635],[1e-05],[297],"[[1e-05], [0]]"
A18827,[18827],[1e-05],[298],"[[1e-05], [0]]"
B18827,[18827],[0.001],[298],"[[0.001], [0]]"
A19310,[19310],[1e-07],[299],"[[1e-07], [0]]"
B19310,[19310],[1e-05],[299],"[[1e-05], [0]]"
A21057,[21057],[1e-05],[300],"[[1e-05], [0]]"
B21057,[21057],[0.001],[300],"[[0.001], [0]]"
A21363,[21363],[1e-05],[301],"[[1e-05], [0]]"
B21363,[21363],[0.001],[301],"[[0.001], [0]]"
A21648,[21648],[0.001],[302],"[[0.001], [0]]"
B21648,[21648],[0.1],[302],"[[0.1], [0]]"
A22310,[22310],[1e-05],[303],"[[1e-05], [0]]"
B22310,[22310],[0.001],[303],"[[0.001], [0]]"
A22386,[22386],[1e-05],[304],"[[1e-05], [0]]"
B22386,[22386],[0.001],[304],"[[0.001], [0]]"
A22873,[22873],[0.001],[305],"[[0.001], [0]]"
B22873,[22873],[0.1],[305],"[[0.1], [0]]"
A23235,[23235],[0.001],[306],"[[0.001], [0]]"
B23235,[23235],[0.1],[306],"[[0.1], [0]]"
A23642,[23642],[1e-07],[307],"[[1e-07], [0]]"
B23642,[23642],[1e-05],[307],"[[1e-05], [0]]"
A24020,[24020],[1e-05],[308],"[[1e-05], [0]]"
B24020,[24020],[0.001],[308],"[[0.001], [0]]"
A24116,[24116],[1e-05],[309],"[[1e-05], [0]]"
B24116,[24116],[0.001],[309],"[[0.001], [0]]"
A24197,[24197],[1e-05],[310],"[[1e-05], [0]]"
B24197,[24197],[0.001],[310],"[[0.001], [0]]"
A24473,[24473],[0.001],[311],"[[0.001], [0]]"
B24473,[24473],[0.1],[311],"[[0.1], [0]]"
A24513,[24513],[0.001],[312],"[[0.001], [0]]"
B24513,[24513],[0.1],[312],"[[0.1], [0]]"
A24834,[24834],[1e-05],[313],"[[1e-05], [0]]"
B24834,[24834],[0.001],[313],"[[0.001], [0]]"
A26331,[26331],[1e-05],[314],"[[1e-05], [0]]"
B26331,[26331],[0.001],[314],"[[0.001], [0]]"
A27440,[27440],[1e-05],[315],"[[1e-05], [0]]"
B27440,[27440],[0.001],[315],"[[0.001], [0]]"
A27457,[27457],[1e-05],[316],"[[1e-05], [0]]"
B27457,[27457],[0.001],[316],"[[0.001], [0]]"
A27458,[27458],[1e-07],[317],"[[1e-07], [0]]"
B27458,[27458],[1e-05],[317],"[[1e-05], [0]]"
A31209,[31209],[0.001],[318],"[[0.001], [0]]"
B31209,[31209],[0.1],[318],"[[0.1], [0]]"
A31210,[31210],[1e-05],[319],"[[1e-05], [0]]"
B31210,[31210],[0.001],[319],"[[0.001], [0]]"
A31219,[31219],[1e-05],[320],"[[1e-05], [0]]"
B31219,[31219],[0.001],[320],"[[0.001], [0]]"
A31225,[31225],[1e-05],[321],"[[1e-05], [0]]"
B31225,[31225],[0.001],[321],"[[0.001], [0]]"
A31234,[31234],[1e-05],[322],"[[1e-05], [0]]"
B31234,[31234],[0.001],[322],"[[0.001], [0]]"
A31244,[31244],[1e-05],[323],"[[1e-05], [0]]"
B31244,[31244],[0.001],[323],"[[0.001], [0]]"
A31246,[31246],[1e-05],[324],"[[1e-05], [0]]"
B31246,[31246],[0.001],[324],"[[0.001], [0]]"
A31249,[31249],[0.001],[325],"[[0.001], [0]]"
B31249,[31249],[0.1],[325],"[[0.1], [0]]"
A31252,[31252],[1e-07],[326],"[[1e-07], [0]]"
B31252,[31252],[1e-05],[326],"[[1e-05], [0]]"
A31260,[31260],[1e-05],[327],"[[1e-05], [0]]"
B31260,[31260],[0.001],[327],"[[0.001], [0]]"
A31265,[31265],[1e-05],[328],"[[1e-05], [0]]"
B31265,[31265],[0.001],[328],"[[0.001], [0]]"
A31266,[31266],[1e-05],[329],"[[1e-05], [0]]"
B31266,[31266],[0.001],[329],"[[0.001], [0]]"
A31268,[31268],[1e-07],[330],"[[1e-07], [0]]"
B31268,[31268],[1e-05],[330],"[[1e-05], [0]]"
A31272,[31272],[1e-05],[331],"[[1e-05], [0]]"
B31272,[31272],[0.001],[331],"[[0.001], [0]]"
A31276,[31276],[1e-05],[332],"[[1e-05], [0]]"
B31276,[31276],[0.001],[332],"[[0.001], [0]]"
A31283,[31283],[0.001],[333],"[[0.001], [0]]"
B31283,[31283],[0.1],[333],"[[0.1], [0]]"
A31404,[31404],[0.001],[334],"[[0.001], [0]]"
B31404,[31404],[0.1],[334],"[[0.1], [0]]"
A32594,[32594],[1e-05],[335],"[[1e-05], [0]]"
B32594,[32594],[0.001],[335],"[[0.001], [0]]"
A33032,[33032],[0.001],[336],"[[0.001], [0]]"
B33032,[33032],[0.1],[336],"[[0.1], [0]]"
A36822,[36822],[1e-07],[337],"[[1e-07], [0]]"
B36822,[36822],[1e-05],[337],"[[1e-05], [0]]"
A60998,[60998],[1e-05],[338],"[[1e-05], [0]]"
B60998,[60998],[0.001],[338],"[[0.001], [0]]"
A60999,[60999],[1e-05],[339],"[[1e-05], [0]]"
B60999,[60999],[0.001],[339],"[[0.001], [0]]"
A61005,[61005],[0.001],[340],"[[0.001], [0]]"
B61005,[61005],[0.1],[340],"[[0.1], [0]]"
A61024,[61024],[1e-05],[341],"[[1e-05], [0]]"
B61024,[61024],[0.001],[341],"[[0.001], [0]]"
A61027,[61027],[0.001],[342],"[[0.001], [0]]"
B61027,[61027],[0.1],[342],"[[0.1], [0]]"
A61048,[61048],[0.001],[343],"[[0.001], [0]]"
B61048,[61048],[0.1],[343],"[[0.1], [0]]"
A61052,[61052],[1e-05],[344],"[[1e-05], [0]]"
B61052,[61052],[0.001],[344],"[[0.001], [0]]"
A61130,[61130],[1e-07],[345],"[[1e-07], [0]]"
B61130,[61130],[1e-05],[345],"[[1e-05], [0]]"
A61138,[61138],[1e-05],[346],"[[1e-05], [0]]"
B61138,[61138],[0.001],[346],"[[0.001], [0]]"
A61151,[61151],[1e-05],[347],"[[1e-05], [0]]"
B61151,[61151],[0.001],[347],"[[0.001], [0]]"
A61155,[61155],[1e-05],[348],"[[1e-05], [0]]"
B61155,[61155],[0.001],[348],"[[0.001], [0]]"
A61177,[61177],[1e-05],[349],"[[1e-05], [0]]"
B61177,[61177],[0.001],[349],"[[0.001], [0]]"
A61185,[61185],[1e-05],[350],"[[1e-05], [0]]"
B61185,[61185],[0.001],[350],"[[0.001], [0]]"
A61192,[61192],[1e-05],[351],"[[1e-05], [0]]"
B61192,[61192],[0.001],[351],"[[0.001], [0]]"
A61199,[61199],[1e-07],[352],"[[1e-07], [0]]"
B61199,[61199],[1e-05],[352],"[[1e-05], [0]]"
A61204,[61204],[1e-05],[353],"[[1e-05], [0]]"
B61204,[61204],[0.001],[353],"[[0.001], [0]]"
A61209,[61209],[0.001],[354],"[[0.001], [0]]"
B61209,[61209],[0.1],[354],"[[0.1], [0]]"
A61229,[61229],[0.001],[355],"[[0.001], [0]]"
B61229,[61229],[0.1],[355],"[[0.1], [0]]"
A61252,[61252],[1e-05],[356],"[[1e-05], [0]]"
B61252,[61252],[0.001],[356],"[[0.001], [0]]"
A61293,[61293],[1e-05],[357],"[[1e-05], [0]]"
B61293,[61293],[0.001],[357],"[[0.001], [0]]"
A61325,[61325],[1e-05],[358],"[[1e-05], [0]]"
B61325,[61325],[0.001],[358],"[[0.001], [0]]"
A61331,[61331],[0.001],[359],"[[0.001], [0]]"
B61331,[61331],[0.1],[359],"[[0.1], [0]]"
A61337,[61337],[1e-05],[360],"[[1e-05], [0]]"
B61337,[61337],[0.001],[360],"[[0.001], [0]]"
A61386,[61386],[0.001],[361],"[[0.001], [0]]"
B61386,[61386],[0.1],[361],"[[0.1], [0]]"
A61408,[61408],[1e-05],[362],"[[1e-05], [0]]"
B61408,[61408],[0.001],[362],"[[0.001], [0]]"
A61523,[61523],[1e-05],[363],"[[1e-05], [0]]"
B61523,[61523],[0.001],[363],"[[0.001], [0]]"
A61527,[61527],[1e-07],[364],"[[1e-07], [0]]"
B61527,[61527],[1e-05],[364],"[[1e-05], [0]]"
A61641,[61641],[1e-07],[365],"[[1e-07], [0]]"
B61641,[61641],[1e-05],[365],"[[1e-05], [0]]"
A61653,[61653],[1e-07],[366],"[[1e-07], [0]]"
B61653,[61653],[1e-05],[366],"[[1e-05], [0]]"
A61659,[61659],[1e-05],[367],"[[1e-05], [0]]"
B61659,[61659],[0.001],[367],"[[0.001], [0]]"
A61670,[61670],[1e-07],[368],"[[1e-07], [0]]"
B61670,[61670],[1e-05],[368],"[[1e-05], [0]]"
A61771,[61771],[0.001],[369],"[[0.001], [0]]"
B61771,[61771],[0.1],[369],"[[0.1], [0]]"
A61809,[61809],[1e-05],[370],"[[1e-05], [0]]"
B61809,[61809],[0.001],[370],"[[0.001], [0]]"
A61918,[61918],[1e-05],[371],"[[1e-05], [0]]"
B61918,[61918],[0.001],[371],"[[0.001], [0]]"
A61945,[61945],[1e-07],[372],"[[1e-07], [0]]"
B61945,[61945],[1e-05],[372],"[[1e-05], [0]]"
A62087,[62087],[1e-07],[373],"[[1e-07], [0]]"
B62087,[62087],[1e-05],[373],"[[1e-05], [0]]"
A62089,[62089],[0.001],[374],"[[0.001], [0]]"
B62089,[62089],[0.1],[374],"[[0.1], [0]]"
A62144,[62144],[1e-07],[375],"[[1e-07], [0]]"
B62144,[62144],[1e-05],[375],"[[1e-05], [0]]"
A62332,[62332],[0.001],[376],"[[0.001], [0]]"
B62332,[62332],[0.1],[376],"[[0.1], [0]]"
A62351,[62351],[1e-05],[377],"[[1e-05], [0]]"
B62351,[62351],[0.001],[377],"[[0.001], [0]]"
A62374,[62374],[1e-05],[378],"[[1e-05], [0]]"
B62374,[62374],[0.001],[378],"[[0.001], [0]]"
A62375,[62375],[1e-05],[379],"[[1e-05], [0]]"
B62375,[62375],[0.001],[379],"[[0.001], [0]]"
A62378,[62378],[1e-05],[380],"[[1e-05], [0]]"
B62378,[62378],[0.001],[380],"[[0.001], [0]]"
A62444,[62444],[1e-05],[381],"[[1e-05], [0]]"
B62444,[62444],[0.001],[381],"[[0.001], [0]]"
A62465,[62465],[1e-05],[382],"[[1e-05], [0]]"
B62465,[62465],[0.001],[382],"[[0.001], [0]]"
A62572,[62572],[1e-05],[383],"[[1e-05], [0]]"
B62572,[62572],[0.001],[383],"[[0.001], [0]]"
A62580,[62580],[1e-05],[384],"[[1e-05], [0]]"
B62580,[62580],[0.001],[384],"[[0.001], [0]]"
A62725,[62725],[1e-07],[385],"[[1e-07], [0]]"
B62725,[62725],[1e-05],[385],"[[1e-05], [0]]"
A62835,[62835],[1e-07],[386],"[[1e-07], [0]]"
B62835,[62835],[1e-05],[386],"[[1e-05], [0]]"
A62900,[62900],[1e-05],[387],"[[1e-05], [0]]"
B62900,[62900],[0.001],[387],"[[0.001], [0]]"
A62902,[62902],[1e-05],[388],"[[1e-05], [0]]"
B62902,[62902],[0.001],[388],"[[0.001], [0]]"
A69963,[69963],[1e-05],[389],"[[1e-05], [0]]"
B69963,[69963],[0.001],[389],"[[0.001], [0]]"
A78925,[78925],[1e-05],[390],"[[1e-05], [0]]"
B78925,[78925],[0.001],[390],"[[0.001], [0]]"
A82227,[82227],[1e-05],[391],"[[1e-05], [0]]"
B82227,[82227],[0.001],[391],"[[0.001], [0]]"
A85522,[85522],[1e-05],[392],"[[1e-05], [0]]"
B85522,[85522],[0.001],[392],"[[0.001], [0]]"
A88454,[88454],[1e-05],[393],"[[1e-05], [0]]"
B88454,[88454],[0.001],[393],"[[0.001], [0]]"
A89440,[89440],[0.001],[394],"[[0.001], [0]]"
B89440,[89440],[0.1],[394],"[[0.1], [0]]"
A92979,[92979],[1e-05],[395],"[[1e-05], [0]]"
B92979,[92979],[0.001],[395],"[[0.001], [0]]"
A93375,[93375],[1e-05],[396],"[[1e-05], [0]]"
B93375,[93375],[0.001],[396],"[[0.001], [0]]"
A98330,[98330],[0.001],[397],"[[0.001], [0]]"
B98330,[98330],[0.1],[397],"[[0.1], [0]]"
A101010,[101010],[1e-07],[398],"[[1e-07], [0]]"
B101010,[101010],[1e-05],[398],"[[1e-05], [0]]"
A101604,[101604],[1e-05],[399],"[[1e-05], [0]]"
B101604,[101604],[0.001],[399],"[[0.001], [0]]"
A104721,[104721],[1e-05],[400],"[[1e-05], [0]]"
B104721,[104721],[0.001],[400],"[[0.001], [0]]"
A106441,[106441],[1e-05],[401],"[[1e-05], [0]]"
B106441,[106441],[0.001],[401],"[[0.001], [0]]"
A106997,[106997],[1e-05],[402],"[[1e-05], [0]]"
B106997,[106997],[0.001],[402],"[[0.001], [0]]"
A145742,[145742],[0.001],[403],"[[0.001], [0]]"
B145742,[145742],[0.1],[403],"[[0.1], [0]]"
A159055,[159055],[0.001],[404],"[[0.001], [0]]"
B159055,[159055],[0.1],[404],"[[0.1], [0]]"
A165675,[165675],[0.001],[405],"[[0.001], [0]]"
B165675,[165675],[0.1],[405],"[[0.1], [0]]"
A170833,[170833],[0.001],[406],"[[0.001], [0]]"
B170833,[170833],[0.1],[406],"[[0.1], [0]]"
A220674,[220674],[0.001],[407],"[[0.001], [0]]"
B220674,[220674],[0.1],[407],"[[0.1], [0]]"
A228769,[228769],[1e-05],[408],"[[1e-05], [0]]"
B228769,[228769],[0.001],[408],"[[0.001], [0]]"
A235414,[235414],[0.001],[409],"[[0.001], [0]]"
B235414,[235414],[0.1],[409],"[[0.1], [0]]"
A246728,[246728],[1e-05],[410],"[[1e-05], [0]]"
B246728,[246728],[0.001],[410],"[[0.001], [0]]"
A251531,[251531],[1e-05],[411],"[[1e-05], [0]]"
B251531,[251531],[0.001],[411],"[[0.001], [0]]"
A439570,[439570],[0.001],[412],"[[0.001], [0]]"
B439570,[439570],[0.1],[412],"[[0.1], [0]]"
A440917,[440917],[1e-05],[413],"[[1e-05], [0]]"
B440917,[440917],[0.001],[413],"[[0.001], [0]]"
A440967,[440967],[0.001],[414],"[[0.001], [0]]"
B440967,[440967],[0.1],[414],"[[0.1], [0]]"
A444539,[444539],[0.001],[415],"[[0.001], [0]]"
B444539,[444539],[0.1],[415],"[[0.1], [0]]"
A444683,[444683],[1e-05],[416],"[[1e-05], [0]]"
B444683,[444683],[0.001],[416],"[[0.001], [0]]"
A444972,[444972],[0.001],[417],"[[0.001], [0]]"
B444972,[444972],[0.1],[417],"[[0.1], [0]]"
A519539,[519539],[1e-05],[418],"[[1e-05], [0]]"
B519539,[519539],[0.001],[418],"[[0.001], [0]]"
A520108,[520108],[1e-05],[419],"[[1e-05], [0]]"
B520108,[520108],[0.001],[419],"[[0.001], [0]]"
A520191,[520191],[1e-05],[420],"[[1e-05], [0]]"
B520191,[520191],[0.001],[420],"[[0.001], [0]]"
A520296,[520296],[1e-05],[421],"[[1e-05], [0]]"
B520296,[520296],[0.001],[421],"[[0.001], [0]]"
A521238,[521238],[0.001],[422],"[[0.001], [0]]"
B521238,[521238],[0.1],[422],"[[0.1], [0]]"
A526618,[526618],[1e-07],[423],"[[1e-07], [0]]"
B526618,[526618],[1e-05],[423],"[[1e-05], [0]]"
A556940,[556940],[1e-07],[424],"[[1e-07], [0]]"
B556940,[556940],[1e-05],[424],"[[1e-05], [0]]"
A565690,[565690],[1e-05],[425],"[[1e-05], [0]]"
B565690,[565690],[0.001],[425],"[[0.001], [0]]"
A595928,[595928],[1e-05],[426],"[[1e-05], [0]]"
B595928,[595928],[0.001],[426],"[[0.001], [0]]"
A637563,[637563],[1e-05],[427],"[[1e-05], [0]]"
B637563,[637563],[0.001],[427],"[[0.001], [0]]"
A637566,[637566],[1e-05],[428],"[[1e-05], [0]]"
B637566,[637566],[0.001],[428],"[[0.001], [0]]"
A637758,[637758],[1e-05],[429],"[[1e-05], [0]]"
B637758,[637758],[0.001],[429],"[[0.001], [0]]"
A637776,[637776],[1e-05],[430],"[[1e-05], [0]]"
B637776,[637776],[0.001],[430],"[[0.001], [0]]"
A637796,[637796],[1e-05],[431],"[[1e-05], [0]]"
B637796,[637796],[0.001],[431],"[[0.001], [0]]"
A638014,[638014],[1e-05],[432],"[[1e-05], [0]]"
B638014,[638014],[0.001],[432],"[[0.001], [0]]"
A638024,[638024],[0.001],[433],"[[0.001], [0]]"
B638024,[638024],[0.1],[433],"[[0.1], [0]]"
A641256,[641256],[1e-05],[434],"[[1e-05], [0]]"
B641256,[641256],[0.001],[434],"[[0.001], [0]]"
A641423,[641423],[1e-05],[435],"[[1e-05], [0]]"
B641423,[641423],[0.001],[435],"[[0.001], [0]]"
A643820,[643820],[1e-05],[436],"[[1e-05], [0]]"
B643820,[643820],[0.001],[436],"[[0.001], [0]]"
A778574,[778574],[0.001],[437],"[[0.001], [0]]"
B778574,[778574],[0.1],[437],"[[0.1], [0]]"
A853433,[853433],[1e-05],[438],"[[1e-05], [0]]"
B853433,[853433],[0.001],[438],"[[0.001], [0]]"
A1549025,[1549025],[0.001],[439],"[[0.001], [0]]"
B1549025,[1549025],[0.1],[439],"[[0.1], [0]]"
A1549026,[1549026],[1e-07],[440],"[[1e-07], [0]]"
B1549026,[1549026],[1e-05],[440],"[[1e-05], [0]]"
A1549778,[1549778],[1e-05],[441],"[[1e-05], [0]]"
B1549778,[1549778],[0.001],[441],"[[0.001], [0]]"
A1550470,[1550470],[1e-05],[442],"[[1e-05], [0]]"
B1550470,[1550470],[0.001],[442],"[[0.001], [0]]"
A1551246,[1551246],[1e-05],[443],"[[1e-05], [0]]"
B1551246,[1551246],[0.001],[443],"[[0.001], [0]]"
A2733294,[2733294],[1e-05],[444],"[[1e-05], [0]]"
B2733294,[2733294],[0.001],[444],"[[0.001], [0]]"
A3578033,[3578033],[1e-05],[445],"[[1e-05], [0]]"
B3578033,[3578033],[0.001],[445],"[[0.001], [0]]"
A5273467,[5273467],[1e-05],[446],"[[1e-05], [0]]"
B5273467,[5273467],[0.001],[446],"[[0.001], [0]]"
A5280450,[5280450],[0.001],[447],"[[0.001], [0]]"
B5280450,[5280450],[0.1],[447],"[[0.1], [0]]"
A5281167,[5281167],[1e-05],[448],"[[1e-05], [0]]"
B5281167,[5281167],[0.001],[448],"[[0.001], [0]]"
A5281168,[5281168],[1e-05],[449],"[[1e-05], [0]]"
B5281168,[5281168],[0.001],[449],"[[0.001], [0]]"
A5315892,[5315892],[1e-05],[450],"[[1e-05], [0]]"
B5315892,[5315892],[0.001],[450],"[[0.001], [0]]"
A5318599,[5318599],[1e-05],[451],"[[1e-05], [0]]"
B5318599,[5318599],[0.001],[451],"[[0.001], [0]]"
A5352539,[5352539],[1e-05],[452],"[[1e-05], [0]]"
B5352539,[5352539],[0.001],[452],"[[0.001], [0]]"
A5352837,[5352837],[1e-05],[453],"[[1e-05], [0]]"
B5352837,[5352837],[0.001],[453],"[[0.001], [0]]"
A5355850,[5355850],[1e-05],[454],"[[1e-05], [0]]"
B5355850,[5355850],[0.001],[454],"[[0.001], [0]]"
A5362588,[5362588],[1e-07],[455],"[[1e-07], [0]]"
B5362588,[5362588],[1e-05],[455],"[[1e-05], [0]]"
A5362798,[5362798],[1e-05],[456],"[[1e-05], [0]]"
B5362798,[5362798],[0.001],[456],"[[0.001], [0]]"
A5362814,[5362814],[1e-07],[457],"[[1e-07], [0]]"
B5362814,[5362814],[1e-05],[457],"[[1e-05], [0]]"
A5363233,[5363233],[1e-05],[458],"[[1e-05], [0]]"
B5363233,[5363233],[0.001],[458],"[[0.001], [0]]"
A5363388,[5363388],[1e-05],[459],"[[1e-05], [0]]"
B5363388,[5363388],[0.001],[459],"[[0.001], [0]]"
A5363491,[5363491],[0.001],[460],"[[0.001], [0]]"
B5363491,[5363491],[0.1],[460],"[[0.1], [0]]"
A5364231,[5364231],[1e-05],[461],"[[1e-05], [0]]"
B5364231,[5364231],[0.001],[461],"[[0.001], [0]]"
A5364729,[5364729],[1e-05],[462],"[[1e-05], [0]]"
B5364729,[5364729],[0.001],[462],"[[0.001], [0]]"
A5365027,[5365027],[1e-05],[463],"[[1e-05], [0]]"
B5365027,[5365027],[0.001],[463],"[[0.001], [0]]"
A5365049,[5365049],[1e-05],[464],"[[1e-05], [0]]"
B5365049,[5365049],[0.001],[464],"[[0.001], [0]]"
A5366244,[5366244],[0.001],[465],"[[0.001], [0]]"
B5366244,[5366244],[0.1],[465],"[[0.1], [0]]"
A5367698,[5367698],[1e-05],[466],"[[1e-05], [0]]"
B5367698,[5367698],[0.001],[466],"[[0.001], [0]]"
A5367706,[5367706],[1e-05],[467],"[[1e-05], [0]]"
