stimulus,CID,dilution,solvent,components,solvent_onehot,dilution_info,cmp_ids
AD737,"[7165, 7765]","[0.01, 0.001]","['pg', 'pg']","[357, 411]","[0, 0]","[[0.01, 0.001], [0, 0]]","[93, 107]"
AD738,"[7909, 5362720]","[0.001, 0.015]","['pg', 'pg']","[432, 244]","[0, 0]","[[0.001, 0.015], [0, 0]]","[113, 61]"
AD754,"[7909, 6989]","[0.001, 0.2]","['pg', 'pg']","[432, 339]","[0, 0]","[[0.001, 0.2], [0, 0]]","[113, 86]"
AD781,"[7144, 20499]","[0.01, 0.02]","['pg', 'pg']","[345, 133]","[0, 0]","[[0.01, 0.02], [0, 0]]","[90, 32]"
AD808,"[7969, 5362720]","[1e-05, 0.015]","['pg', 'pg']","[450, 244]","[0, 0]","[[1e-05, 0.015], [0, 0]]","[119, 61]"
AD835,"[7165, 20499]","[0.01, 0.02]","['pg', 'pg']","[357, 133]","[0, 0]","[[0.01, 0.02], [0, 0]]","[93, 32]"
AD853,"[11002, 18635]","[0.0007, 0.001]","['dep', 'pg']","[53, 126]","[1, 0]","[[0.0007, 0.001], [1, 0]]","[7, 30]"
AD862,"[7144, 16590]","[0.01, 0.001]","['pg', 'pg']","[345, 121]","[0, 0]","[[0.01, 0.001], [0, 0]]","[90, 28]"
AD866,"[460, 16590]","[0.1, 0.001]","['pg', 'pg']","[220, 121]","[0, 0]","[[0.1, 0.001], [0, 0]]","[52, 28]"
AD876,"[326, 6989]","[0.01, 0.2]","['pg', 'pg']","[189, 339]","[0, 0]","[[0.01, 0.2], [0, 0]]","[47, 86]"
AD917,"[7909, 439570]","[0.001, 0.1]","['pg', 'pg']","[432, 213]","[0, 0]","[[0.001, 0.1], [0, 0]]","[113, 50]"
AD919,"[12206, 7127]","[0.001, 0.2]","['pg', 'pg']","[83, 344]","[0, 0]","[[0.001, 0.2], [0, 0]]","[17, 89]"
AD967,"[11002, 5362720]","[0.0007, 0.015]","['dep', 'pg']","[53, 244]","[1, 0]","[[0.0007, 0.015], [1, 0]]","[7, 61]"
AD994,"[325, 20499]","[0.2, 0.02]","['pg', 'pg']","[184, 133]","[0, 0]","[[0.2, 0.02], [0, 0]]","[45, 32]"
AD995,"[7909, 18635]","[0.001, 0.001]","['pg', 'pg']","[432, 126]","[0, 0]","[[0.001, 0.001], [0, 0]]","[113, 30]"
AE002,"[79104, 11552]","[0.3, 0.01]","['pg', 'pg']","[433, 65]","[0, 0]","[[0.3, 0.01], [0, 0]]","[114, 12]"
AE004,"[10886, 9589]","[0.2, 0.2]","['dep', 'pg']","[38, 530]","[1, 0]","[[0.2, 0.2], [1, 0]]","[5, 143]"
AE042,"[5324978, 7222]","[0.3, 0.1]","['pg', 'pg']","[243, 360]","[0, 0]","[[0.3, 0.1], [0, 0]]","[60, 94]"
AE043,"[10886, 2758778]","[0.2, 0.01]","['dep', 'pg']","[38, 159]","[1, 0]","[[0.2, 0.01], [1, 0]]","[5, 40]"
AE061,"[11702, 7222]","[0.1, 0.1]","['pg', 'pg']","[69, 360]","[0, 0]","[[0.1, 0.1], [0, 0]]","[13, 94]"
AE067,"[5324978, 1140]","[0.3, 0.01]","['pg', 'pg']","[243, 60]","[0, 0]","[[0.3, 0.01], [0, 0]]","[60, 10]"
AE099,"[78944, 9261]","[0.1, 0.1]","['pg', 'pg']","[431, 527]","[0, 0]","[[0.1, 0.1], [0, 0]]","[112, 140]"
AE140,"[10886, 7222]","[0.2, 0.1]","['dep', 'pg']","[38, 360]","[1, 0]","[[0.2, 0.1], [1, 0]]","[5, 94]"
AE142,"[78944, 7335]","[0.1, 0.1]","['pg', 'pg']","[431, 364]","[0, 0]","[[0.1, 0.1], [0, 0]]","[112, 96]"
AE148,"[76322, 9589]","[0.1, 0.2]","['pg', 'pg']","[388, 530]","[0, 0]","[[0.1, 0.2], [0, 0]]","[103, 143]"
AE153,"[78944, 9589]","[0.1, 0.2]","['pg', 'pg']","[431, 530]","[0, 0]","[[0.1, 0.2], [0, 0]]","[112, 143]"
AE177,"[76322, 439570]","[0.1, 0.1]","['pg', 'pg']","[388, 213]","[0, 0]","[[0.1, 0.1], [0, 0]]","[103, 50]"
AE184,"[79104, 9261]","[0.3, 0.1]","['pg', 'pg']","[433, 527]","[0, 0]","[[0.3, 0.1], [0, 0]]","[114, 140]"
AE192,"[10886, 439570]","[0.2, 0.1]","['dep', 'pg']","[38, 213]","[1, 0]","[[0.2, 0.1], [1, 0]]","[5, 50]"
AE207,"[15651, 439570]","[1.0, 0.1]","['nt', 'pg']","[120, 213]","[2, 0]","[[1.0, 0.1], [2, 0]]","[27, 50]"
AE240,"[5324978, 2758778]","[0.3, 0.01]","['pg', 'pg']","[243, 159]","[0, 0]","[[0.3, 0.01], [0, 0]]","[60, 40]"
AE241,"[21427952, 9589]","[0.001, 0.2]","['pg', 'pg']","[138, 530]","[0, 0]","[[0.001, 0.2], [0, 0]]","[33, 143]"
AE280,"[15651, 14057]","[1.0, 0.01]","['nt', 'pg']","[120, 98]","[2, 0]","[[1.0, 0.01], [2, 0]]","[27, 23]"
AE297,"[15651, 7222]","[1.0, 0.1]","['nt', 'pg']","[120, 360]","[2, 0]","[[1.0, 0.1], [2, 0]]","[27, 94]"
AE334,"[76322, 6989]","[0.1, 0.2]","['pg', 'pg']","[388, 339]","[0, 0]","[[0.1, 0.2], [0, 0]]","[103, 86]"
AE379,"[15651, 9589]","[1.0, 0.2]","['nt', 'pg']","[120, 530]","[2, 0]","[[1.0, 0.2], [2, 0]]","[27, 143]"
AE421,"[79104, 91497]","[0.3, 1.0]","['pg', 'nt']","[433, 526]","[0, 2]","[[0.3, 1.0], [0, 2]]","[114, 139]"
AE448,"[10886, 9261]","[0.2, 0.1]","['dep', 'pg']","[38, 527]","[1, 0]","[[0.2, 0.1], [1, 0]]","[5, 140]"
AE459,"[5324978, 9261]","[0.3, 0.1]","['pg', 'pg']","[243, 527]","[0, 0]","[[0.3, 0.1], [0, 0]]","[60, 140]"
AE532,"[76322, 2758778]","[0.1, 0.01]","['pg', 'pg']","[388, 159]","[0, 0]","[[0.1, 0.01], [0, 0]]","[103, 40]"
AE539,"[5324978, 11251]","[0.3, 0.01]","['pg', 'pg']","[243, 59]","[0, 0]","[[0.3, 0.01], [0, 0]]","[60, 9]"
AE568,"[76322, 9261]","[0.1, 0.1]","['pg', 'pg']","[388, 527]","[0, 0]","[[0.1, 0.1], [0, 0]]","[103, 140]"
AE574,"[10886, 14057]","[0.2, 0.01]","['dep', 'pg']","[38, 98]","[1, 0]","[[0.2, 0.01], [1, 0]]","[5, 23]"
AE645,"[79104, 14057]","[0.3, 0.01]","['pg', 'pg']","[433, 98]","[0, 0]","[[0.3, 0.01], [0, 0]]","[114, 23]"
AE646,"[5324978, 9589]","[0.3, 0.2]","['pg', 'pg']","[243, 530]","[0, 0]","[[0.3, 0.2], [0, 0]]","[60, 143]"
AE659,"[78944, 7770]","[0.1, 0.001]","['pg', 'pg']","[431, 415]","[0, 0]","[[0.1, 0.001], [0, 0]]","[112, 108]"
AE666,"[79104, 6989]","[0.3, 0.2]","['pg', 'pg']","[433, 339]","[0, 0]","[[0.3, 0.2], [0, 0]]","[114, 86]"
AE675,"[78944, 11251]","[0.1, 0.01]","['pg', 'pg']","[431, 59]","[0, 0]","[[0.1, 0.01], [0, 0]]","[112, 9]"
AE681,"[11702, 439570]","[0.1, 0.1]","['pg', 'pg']","[69, 213]","[0, 0]","[[0.1, 0.1], [0, 0]]","[13, 50]"
AE715,"[11702, 11251]","[0.1, 0.01]","['pg', 'pg']","[69, 59]","[0, 0]","[[0.1, 0.01], [0, 0]]","[13, 9]"
AE755,"[79104, 2758778]","[0.3, 0.01]","['pg', 'pg']","[433, 159]","[0, 0]","[[0.3, 0.01], [0, 0]]","[114, 40]"
AE761,"[15651, 1140]","[1.0, 0.01]","['nt', 'pg']","[120, 60]","[2, 0]","[[1.0, 0.01], [2, 0]]","[27, 10]"
AE767,"[78944, 7222]","[0.1, 0.1]","['pg', 'pg']","[431, 360]","[0, 0]","[[0.1, 0.1], [0, 0]]","[112, 94]"
AE775,"[15651, 2758778]","[1.0, 0.01]","['nt', 'pg']","[120, 159]","[2, 0]","[[1.0, 0.01], [2, 0]]","[27, 40]"
AE798,"[76322, 91497]","[0.1, 1.0]","['pg', 'nt']","[388, 526]","[0, 2]","[[0.1, 1.0], [0, 2]]","[103, 139]"
AE809,"[15651, 9261]","[1.0, 0.1]","['nt', 'pg']","[120, 527]","[2, 0]","[[1.0, 0.1], [2, 0]]","[27, 140]"
AE810,"[10886, 6989]","[0.2, 0.2]","['dep', 'pg']","[38, 339]","[1, 0]","[[0.2, 0.2], [1, 0]]","[5, 86]"
AE825,"[79104, 439570]","[0.3, 0.1]","['pg', 'pg']","[433, 213]","[0, 0]","[[0.3, 0.1], [0, 0]]","[114, 50]"
AE855,"[11702, 1140]","[0.1, 0.01]","['pg', 'pg']","[69, 60]","[0, 0]","[[0.1, 0.01], [0, 0]]","[13, 10]"
AE911,"[11702, 9589]","[0.1, 0.2]","['pg', 'pg']","[69, 530]","[0, 0]","[[0.1, 0.2], [0, 0]]","[13, 143]"
AE913,"[11702, 2758778]","[0.1, 0.01]","['pg', 'pg']","[69, 159]","[0, 0]","[[0.1, 0.01], [0, 0]]","[13, 40]"
AE929,"[76322, 14057]","[0.1, 0.01]","['pg', 'pg']","[388, 98]","[0, 0]","[[0.1, 0.01], [0, 0]]","[103, 23]"
AE942,"[11702, 9261]","[0.1, 0.1]","['pg', 'pg']","[69, 527]","[0, 0]","[[0.1, 0.1], [0, 0]]","[13, 140]"
AE958,"[78944, 1140]","[0.1, 0.01]","['pg', 'pg']","[431, 60]","[0, 0]","[[0.1, 0.01], [0, 0]]","[112, 10]"
AE967,"[5324978, 7335]","[0.3, 0.1]","['pg', 'pg']","[243, 364]","[0, 0]","[[0.3, 0.1], [0, 0]]","[60, 96]"
AF010,[11251],[0.01],['pg'],[59],[0],"[[0.01], [0]]",[9]
AF054,[5324978],[0.3],['pg'],[243],[0],"[[0.3], [0]]",[60]
AF065,"[439570, 31252, 6920, 8051, 7410, 10890, 5365027, 10400, 10882, 8892]","[0.096, 0.65, 0.023, 0.013, 0.28, 0.57, 0.0041, 0.024, 0.0047, 0.057]","['paraffin oil', 'pg', 'pg', 'paraffin oil', 'pg', 'paraffin oil', 'paraffin oil', 'paraffin oil', 'paraffin oil', 'pg']","[212, 168, 333, 466, 384, 50, 251, 15, 32, 521]","[3, 0, 0, 3, 0, 3, 3, 3, 3, 0]","[[0.096, 0.65, 0.023, 0.013, 0.28, 0.57, 0.0041, 0.024, 0.0047, 0.057], [3, 0, 0, 3, 0, 3, 3, 3, 3, 0]]","[50, 41, 85, 124, 100, 6, 64, 1, 4, 138]"
AF123,[61982],[0.0001],['pg'],[281],[0],"[[0.0001], [0]]",[72]
AF139,[10886],[0.2],['dep'],[38],[1],"[[0.2], [1]]",[5]
AF184,[12206],[0.001],['pg'],[83],[0],"[[0.001], [0]]",[17]
AF201,[21427952],[0.001],['pg'],[138],[0],"[[0.001], [0]]",[33]
AF301,"[31252, 8051, 7410, 5365027, 10400]","[1.0, 0.005, 0.28, 0.0011, 0.012]","['nt', 'paraffin oil', 'pg', 'paraffin oil', 'paraffin oil']","[169, 464, 384, 249, 14]","[2, 3, 0, 3, 3]","[[1.0, 0.005, 0.28, 0.0011, 0.012], [2, 3, 0, 3, 3]]","[41, 124, 100, 64, 1]"
AF333,[11702],[0.1],['pg'],[69],[0],"[[0.1], [0]]",[13]
AF337,"[439570, 31252, 6920, 8051, 7410, 10890, 5365027, 10400, 10882, 8892]","[0.0088, 0.069, 0.19, 0.38, 0.28, 0.0091, 0.0011, 0.024, 0.00045, 0.11]","['paraffin oil', 'pg', 'pg', 'paraffin oil', 'pg', 'paraffin oil', 'paraffin oil', 'paraffin oil', 'paraffin oil', 'pg']","[211, 165, 336, 471, 384, 42, 249, 15, 29, 522]","[3, 0, 0, 3, 0, 3, 3, 3, 3, 0]","[[0.0088, 0.069, 0.19, 0.38, 0.28, 0.0091, 0.0011, 0.024, 0.00045, 0.11], [3, 0, 0, 3, 0, 3, 3, 3, 3, 0]]","[50, 41, 85, 124, 100, 6, 64, 1, 4, 138]"
AF342,[7770],[0.001],['pg'],[415],[0],"[[0.001], [0]]",[108]
AF370,[76322],[0.1],['pg'],[388],[0],"[[0.1], [0]]",[103]
AF383,[7144],[0.01],['pg'],[345],[0],"[[0.01], [0]]",[90]
AF408,[7222],[0.1],['pg'],[360],[0],"[[0.1], [0]]",[94]
AF442,"[439570, 31252, 6920, 8051, 7410, 10890, 5365027, 10400, 10882, 8892]","[0.0088, 0.65, 0.011, 0.005, 0.033, 0.0051, 0.23, 0.19, 0.00045, 0.83]","['paraffin oil', 'pg', 'pg', 'paraffin oil', 'pg', 'paraffin oil', 'paraffin oil', 'paraffin oil', 'paraffin oil', 'pg']","[211, 168, 332, 464, 382, 41, 256, 19, 29, 524]","[3, 0, 0, 3, 0, 3, 3, 3, 3, 0]","[[0.0088, 0.65, 0.011, 0.005, 0.033, 0.0051, 0.23, 0.19, 0.00045, 0.83], [3, 0, 0, 3, 0, 3, 3, 3, 3, 0]]","[50, 41, 85, 124, 100, 6, 64, 1, 4, 138]"
AF445,[9589],[0.2],['pg'],[530],[0],"[[0.2], [0]]",[143]
AF469,"[31252, 8051, 7410, 5365027, 10400]","[0.007, 0.005, 0.28, 0.23, 0.098]","['pg', 'paraffin oil', 'pg', 'paraffin oil', 'paraffin oil']","[161, 464, 384, 256, 18]","[0, 3, 0, 3, 3]","[[0.007, 0.005, 0.28, 0.23, 0.098], [0, 3, 0, 3, 3]]","[41, 124, 100, 64, 1]"
AF502,"[31252, 8051, 7410, 5365027, 10400]","[0.007, 0.38, 0.28, 0.0011, 0.0023]","['pg', 'paraffin oil', 'pg', 'paraffin oil', 'paraffin oil']","[161, 471, 384, 249, 13]","[0, 3, 0, 3, 3]","[[0.007, 0.38, 0.28, 0.0011, 0.0023], [0, 3, 0, 3, 3]]","[41, 124, 100, 64, 1]"
AF552,[79104],[0.3],['pg'],[433],[0],"[[0.3], [0]]",[114]
AF586,[7909],[0.001],['pg'],[432],[0],"[[0.001], [0]]",[113]
AF610,[78944],[0.1],['pg'],[431],[0],"[[0.1], [0]]",[112]
AF612,[2758778],[0.01],['pg'],[159],[0],"[[0.01], [0]]",[40]
AF647,[1140],[0.01],['pg'],[60],[0],"[[0.01], [0]]",[10]
AF719,[14057],[0.01],['pg'],[98],[0],"[[0.01], [0]]",[23]
AF737,"[439570, 8051, 7410, 240, 4133]","[0.0088, 0.38, 0.28, 6e-05, 0.02]","['paraffin oil', 'paraffin oil', 'pg', 'pg', 'paraffin oil']","[211, 471, 384, 154, 206]","[3, 3, 0, 0, 3]","[[0.0088, 0.38, 0.28, 6e-05, 0.02], [3, 3, 0, 0, 3]]","[50, 124, 100, 37, 49]"
AF890,[9261],[0.1],['pg'],[527],[0],"[[0.1], [0]]",[140]
AF899,[15651],[1.0],['nt'],[120],[2],"[[1.0], [2]]",[27]
AF914,[11002],[0.0007],['dep'],[53],[1],"[[0.0007], [1]]",[7]
AF925,[7335],[0.1],['pg'],[364],[0],"[[0.1], [0]]",[96]
AF986,[93009],[0.01],['pg'],[529],[0],"[[0.01], [0]]",[142]
AG056,"[7410, 7335]","[0.01, 0.1]","['pg', 'pg']","[381, 364]","[0, 0]","[[0.01, 0.1], [0, 0]]","[100, 96]"
AG069,"[8051, 7770]","[0.001, 0.001]","['paraffin oil', 'pg']","[463, 415]","[3, 0]","[[0.001, 0.001], [3, 0]]","[124, 108]"
AG086,"[439570, 8051, 7410, 240, 4133]","[0.3, 0.025, 0.28, 0.0099, 0.02]","['paraffin oil', 'paraffin oil', 'pg', 'pg', 'paraffin oil']","[215, 467, 384, 150, 206]","[3, 3, 0, 0, 3]","[[0.3, 0.025, 0.28, 0.0099, 0.02], [3, 3, 0, 0, 3]]","[50, 124, 100, 37, 49]"
AG090,"[76322, 6920]","[0.1, 0.07]","['pg', 'pg']","[388, 334]","[0, 0]","[[0.1, 0.07], [0, 0]]","[103, 85]"
AG126,"[7410, 11251]","[0.01, 0.01]","['pg', 'pg']","[381, 59]","[0, 0]","[[0.01, 0.01], [0, 0]]","[100, 9]"
AG139,"[31252, 9589]","[0.01, 0.2]","['pg', 'pg']","[163, 530]","[0, 0]","[[0.01, 0.2], [0, 0]]","[41, 143]"
AG158,"[8051, 1140]","[0.001, 0.01]","['paraffin oil', 'pg']","[463, 60]","[3, 0]","[[0.001, 0.01], [3, 0]]","[124, 10]"
AG169,"[8051, 11251]","[0.001, 0.01]","['paraffin oil', 'pg']","[463, 59]","[3, 0]","[[0.001, 0.01], [3, 0]]","[124, 9]"
AG247,"[31252, 7335]","[0.01, 0.1]","['pg', 'pg']","[163, 364]","[0, 0]","[[0.01, 0.1], [0, 0]]","[41, 96]"
AG258,"[15037, 7410, 5365027, 10400, 4133]","[1.0, 0.033, 0.0012, 0.098, 0.039]","['nt', 'pg', 'paraffin oil', 'paraffin oil', 'paraffin oil']","[119, 382, 250, 18, 207]","[2, 0, 3, 3, 3]","[[1.0, 0.033, 0.0012, 0.098, 0.039], [2, 0, 3, 3, 3]]","[26, 100, 64, 1, 49]"
AG272,"[76322, 11251]","[0.1, 0.01]","['pg', 'pg']","[388, 59]","[0, 0]","[[0.1, 0.01], [0, 0]]","[103, 9]"
AG298,"[31252, 7770]","[0.01, 0.001]","['pg', 'pg']","[163, 415]","[0, 0]","[[0.01, 0.001], [0, 0]]","[41, 108]"
AG316,"[16590, 76322]","[0.001, 0.1]","['pg', 'pg']","[121, 388]","[0, 0]","[[0.001, 0.1], [0, 0]]","[28, 103]"
AG333,"[31252, 11251]","[0.01, 0.01]","['pg', 'pg']","[163, 59]","[0, 0]","[[0.01, 0.01], [0, 0]]","[41, 9]"
AG346,"[439570, 7410, 10400]","[0.3, 0.28, 0.2]","['paraffin oil', 'pg', 'paraffin oil']","[215, 384, 20]","[3, 0, 3]","[[0.3, 0.28, 0.2], [3, 0, 3]]","[50, 100, 1]"
AG351,"[16590, 7410]","[0.001, 0.01]","['pg', 'pg']","[121, 381]","[0, 0]","[[0.001, 0.01], [0, 0]]","[28, 100]"
AG354,"[8051, 6920]","[0.001, 0.07]","['paraffin oil', 'pg']","[463, 334]","[3, 0]","[[0.001, 0.07], [3, 0]]","[124, 85]"
AG386,"[20499, 76322]","[0.02, 0.1]","['pg', 'pg']","[133, 388]","[0, 0]","[[0.02, 0.1], [0, 0]]","[32, 103]"
AG394,"[439570, 7410, 10400]","[0.0064, 0.033, 0.19]","['paraffin oil', 'pg', 'paraffin oil']","[210, 382, 19]","[3, 0, 3]","[[0.0064, 0.033, 0.19], [3, 0, 3]]","[50, 100, 1]"
AG422,"[7410, 10400, 6549]","[0.033, 0.098, 0.15]","['pg', 'paraffin oil', 'paraffin oil']","[382, 18, 322]","[0, 3, 3]","[[0.033, 0.098, 0.15], [0, 3, 3]]","[100, 1, 81]"
AG454,"[31252, 8051, 7410, 5365027, 10400]","[0.007, 0.21, 0.14, 0.23, 0.024]","['pg', 'paraffin oil', 'pg', 'paraffin oil', 'paraffin oil']","[161, 468, 383, 256, 15]","[0, 3, 0, 3, 3]","[[0.007, 0.21, 0.14, 0.23, 0.024], [0, 3, 0, 3, 3]]","[41, 124, 100, 64, 1]"
AG456,"[61527, 7410]","[0.001, 0.01]","['pg', 'pg']","[264, 381]","[0, 0]","[[0.001, 0.01], [0, 0]]","[67, 100]"
AG530,"[14514, 6920, 7410, 10400, 6549]","[0.17, 0.36, 0.28, 0.19, 0.15]","['pg', 'pg', 'pg', 'paraffin oil', 'paraffin oil']","[115, 338, 384, 19, 322]","[0, 0, 0, 3, 3]","[[0.17, 0.36, 0.28, 0.19, 0.15], [0, 0, 0, 3, 3]]","[25, 85, 100, 1, 81]"
AG543,"[76322, 1140]","[0.1, 0.01]","['pg', 'pg']","[388, 60]","[0, 0]","[[0.1, 0.01], [0, 0]]","[103, 10]"
AG570,"[20499, 7410]","[0.02, 0.01]","['pg', 'pg']","[133, 381]","[0, 0]","[[0.02, 0.01], [0, 0]]","[32, 100]"
AG575,"[16590, 8051]","[0.001, 0.001]","['pg', 'paraffin oil']","[121, 463]","[0, 3]","[[0.001, 0.001], [0, 3]]","[28, 124]"
AG616,"[76322, 7335]","[0.1, 0.1]","['pg', 'pg']","[388, 364]","[0, 0]","[[0.1, 0.1], [0, 0]]","[103, 96]"
AG619,"[439570, 7410, 10400]","[0.0064, 0.28, 0.19]","['paraffin oil', 'pg', 'paraffin oil']","[210, 384, 19]","[3, 0, 3]","[[0.0064, 0.28, 0.19], [3, 0, 3]]","[50, 100, 1]"
AG677,"[14514, 6920, 7410, 10400, 6549]","[0.0093, 0.011, 0.28, 0.19, 0.016]","['pg', 'pg', 'pg', 'paraffin oil', 'paraffin oil']","[113, 332, 384, 19, 319]","[0, 0, 0, 3, 3]","[[0.0093, 0.011, 0.28, 0.19, 0.016], [0, 0, 0, 3, 3]]","[25, 85, 100, 1, 81]"
AG699,"[31252, 7222]","[0.01, 0.1]","['pg', 'pg']","[163, 360]","[0, 0]","[[0.01, 0.1], [0, 0]]","[41, 94]"
AG724,"[439570, 8051, 7410, 240, 4133]","[0.3, 0.38, 0.28, 0.0099, 0.039]","['paraffin oil', 'paraffin oil', 'pg', 'pg', 'paraffin oil']","[215, 471, 384, 150, 207]","[3, 3, 0, 0, 3]","[[0.3, 0.38, 0.28, 0.0099, 0.039], [3, 3, 0, 0, 3]]","[50, 124, 100, 37, 49]"
AG732,"[31252, 1140]","[0.01, 0.01]","['pg', 'pg']","[163, 60]","[0, 0]","[[0.01, 0.01], [0, 0]]","[41, 10]"
AG742,"[7410, 10400, 6549]","[0.14, 0.19, 0.031]","['pg', 'paraffin oil', 'paraffin oil']","[383, 19, 320]","[0, 3, 3]","[[0.14, 0.19, 0.031], [0, 3, 3]]","[100, 1, 81]"
AG805,"[8051, 7222]","[0.001, 0.1]","['paraffin oil', 'pg']","[463, 360]","[3, 0]","[[0.001, 0.1], [3, 0]]","[124, 94]"
AG810,"[76322, 7770]","[0.1, 0.001]","['pg', 'pg']","[388, 415]","[0, 0]","[[0.1, 0.001], [0, 0]]","[103, 108]"
AG862,"[14514, 6920, 7410, 10400, 6549]","[0.0093, 0.011, 0.033, 0.098, 0.15]","['pg', 'pg', 'pg', 'paraffin oil', 'paraffin oil']","[113, 332, 382, 18, 322]","[0, 0, 0, 3, 3]","[[0.0093, 0.011, 0.033, 0.098, 0.15], [0, 0, 0, 3, 3]]","[25, 85, 100, 1, 81]"
AG869,"[31252, 6920]","[0.01, 0.07]","['pg', 'pg']","[163, 334]","[0, 0]","[[0.01, 0.07], [0, 0]]","[41, 85]"
AG874,"[439570, 8051, 7410, 240, 4133]","[0.2, 0.005, 0.28, 0.024, 0.04]","['paraffin oil', 'paraffin oil', 'pg', 'pg', 'paraffin oil']","[214, 464, 384, 151, 208]","[3, 3, 0, 0, 3]","[[0.2, 0.005, 0.28, 0.024, 0.04], [3, 3, 0, 0, 3]]","[50, 124, 100, 37, 49]"
AG875,"[15037, 7410, 5365027, 10400, 4133]","[0.03, 0.28, 0.0083, 0.098, 0.15]","['dep', 'pg', 'paraffin oil', 'paraffin oil', 'paraffin oil']","[117, 384, 252, 18, 209]","[1, 0, 3, 3, 3]","[[0.03, 0.28, 0.0083, 0.098, 0.15], [1, 0, 3, 3, 3]]","[26, 100, 64, 1, 49]"
AG945,"[8051, 7335]","[0.001, 0.1]","['paraffin oil', 'pg']","[463, 364]","[3, 0]","[[0.001, 0.1], [3, 0]]","[124, 96]"
AG982,"[439570, 7410, 10400]","[0.6, 0.28, 0.098]","['paraffin oil', 'pg', 'paraffin oil']","[217, 384, 18]","[3, 0, 3]","[[0.6, 0.28, 0.098], [3, 0, 3]]","[50, 100, 1]"
AG989,"[14514, 6920, 7410, 10400, 6549]","[0.0022, 0.023, 0.28, 0.19, 0.00082]","['pg', 'pg', 'pg', 'paraffin oil', 'paraffin oil']","[112, 333, 384, 19, 317]","[0, 0, 0, 3, 3]","[[0.0022, 0.023, 0.28, 0.19, 0.00082], [0, 0, 0, 3, 3]]","[25, 85, 100, 1, 81]"
AH007,"[6920, 8051, 8892]","[0.36, 0.38, 0.11]","['pg', 'paraffin oil', 'pg']","[338, 471, 522]","[0, 3, 0]","[[0.36, 0.38, 0.11], [0, 3, 0]]","[85, 124, 138]"
AH022,"[12297, 7410]","[0.001, 0.01]","['pg', 'pg']","[84, 381]","[0, 0]","[[0.001, 0.01], [0, 0]]","[18, 100]"
AH100,"[6920, 8051, 8892]","[0.091, 0.38, 0.83]","['pg', 'paraffin oil', 'pg']","[335, 471, 524]","[0, 3, 0]","[[0.091, 0.38, 0.83], [0, 3, 0]]","[85, 124, 138]"
AH174,"[31252, 8051, 7410]","[0.007, 0.21, 0.28]","['pg', 'paraffin oil', 'pg']","[161, 468, 384]","[0, 3, 0]","[[0.007, 0.21, 0.28], [0, 3, 0]]","[41, 124, 100]"
AH189,"[10890, 62444]","[0.05, 0.001]","['paraffin oil', 'pg']","[45, 282]","[3, 0]","[[0.05, 0.001], [3, 0]]","[6, 73]"
AH199,"[8892, 5362720]","[0.04, 0.015]","['pg', 'pg']","[520, 244]","[0, 0]","[[0.04, 0.015], [0, 0]]","[138, 61]"
AH203,"[439570, 31252, 6920, 8051, 7410, 10890, 5365027, 10400, 10882, 8892]","[0.2, 0.069, 0.023, 0.38, 0.033, 0.0091, 0.024, 0.024, 0.0047, 0.83]","['paraffin oil', 'pg', 'pg', 'paraffin oil', 'pg', 'paraffin oil', 'paraffin oil', 'paraffin oil', 'paraffin oil', 'pg']","[214, 165, 333, 471, 382, 42, 255, 15, 32, 524]","[3, 0, 0, 3, 0, 3, 3, 3, 3, 0]","[[0.2, 0.069, 0.023, 0.38, 0.033, 0.0091, 0.024, 0.024, 0.0047, 0.83], [3, 0, 0, 3, 0, 3, 3, 3, 3, 0]]","[50, 41, 85, 124, 100, 6, 64, 1, 4, 138]"
AH254,"[7410, 6920]","[0.01, 0.07]","['pg', 'pg']","[381, 334]","[0, 0]","[[0.01, 0.07], [0, 0]]","[100, 85]"
AH263,"[12297, 76322]","[0.001, 0.1]","['pg', 'pg']","[84, 388]","[0, 0]","[[0.001, 0.1], [0, 0]]","[18, 103]"
AH269,"[12206, 16590]","[0.001, 0.001]","['pg', 'pg']","[83, 121]","[0, 0]","[[0.001, 0.001], [0, 0]]","[17, 28]"
AH286,"[15037, 7410, 5365027, 10400, 4133]","[0.03, 0.28, 0.0012, 0.19, 0.039]","['dep', 'pg', 'paraffin oil', 'paraffin oil', 'paraffin oil']","[117, 384, 250, 19, 207]","[1, 0, 3, 3, 3]","[[0.03, 0.28, 0.0012, 0.19, 0.039], [1, 0, 3, 3, 3]]","[26, 100, 64, 1, 49]"
AH291,"[10400, 62444]","[0.03, 0.001]","['paraffin oil', 'pg']","[16, 282]","[3, 0]","[[0.03, 0.001], [3, 0]]","[1, 73]"
AH342,"[12206, 5362720]","[0.001, 0.015]","['pg', 'pg']","[83, 244]","[0, 0]","[[0.001, 0.015], [0, 0]]","[17, 61]"
AH402,"[10400, 7770]","[0.03, 0.001]","['paraffin oil', 'pg']","[16, 415]","[3, 0]","[[0.03, 0.001], [3, 0]]","[1, 108]"
AH445,"[12206, 62444]","[0.001, 0.001]","['pg', 'pg']","[83, 282]","[0, 0]","[[0.001, 0.001], [0, 0]]","[17, 73]"
AH447,"[12297, 31252]","[0.001, 0.01]","['pg', 'pg']","[84, 163]","[0, 0]","[[0.001, 0.01], [0, 0]]","[18, 41]"
