stimulus,CID,dilution,solvent,components,solvent_onehot,cmp_ids,dilution_weakness,dilution_info
AG530,"[6549, 7410, 6920, 10400, 14514]","[0.15, 0.28, 0.36, 0.19, 0.17]","['paraffin oil', 'pg', 'pg', 'paraffin oil', 'pg']","[322, 384, 338, 19, 115]","[3, 0, 0, 3, 0]","[81, 100, 85, 1, 25]","[1.0, 1.0, 1.0, 0.9497487437185929, 0.3747208575256811]","[[0.15, 0.28, 0.36, 0.19, 0.17], [3, 0, 0, 3, 0], [1.0, 1.0, 1.0, 0.9497487437185929, 0.3747208575256811]]"
AG543,"[76322, 1140]","[0.1, 0.01]","['pg', 'pg']","[388, 60]","[0, 0]","[103, 10]","[1.0, 1.0]","[[0.1, 0.01], [0, 0], [1.0, 1.0]]"
AG570,"[7410, 20499]","[0.01, 0.02]","['pg', 'pg']","[381, 133]","[0, 0]","[100, 32]","[0.03225806451612903, 0.03171953255425709]","[[0.01, 0.02], [0, 0], [0.03225806451612903, 0.03171953255425709]]"
AG575,"[16590, 8051]","[0.001, 0.001]","['pg', 'paraffin oil']","[121, 463]","[0, 3]","[28, 124]","[1.0, 0.0013175230566534915]","[[0.001, 0.001], [0, 3], [1.0, 0.0013175230566534915]]"
AG616,"[76322, 7335]","[0.1, 0.1]","['pg', 'pg']","[388, 364]","[0, 0]","[103, 96]","[1.0, 1.0]","[[0.1, 0.1], [0, 0], [1.0, 1.0]]"
AG619,"[7410, 439570, 10400]","[0.28, 0.0064, 0.19]","['pg', 'paraffin oil', 'paraffin oil']","[384, 210, 19]","[0, 3, 3]","[100, 50, 1]","[1.0, 0.0023529411764705885, 0.9497487437185929]","[[0.28, 0.0064, 0.19], [0, 3, 3], [1.0, 0.0023529411764705885, 0.9497487437185929]]"
AG677,"[6549, 7410, 6920, 10400, 14514]","[0.016, 0.28, 0.011, 0.19, 0.0093]","['paraffin oil', 'pg', 'pg', 'paraffin oil', 'pg']","[319, 384, 332, 19, 113]","[3, 0, 0, 3, 0]","[81, 100, 85, 1, 25]","[0.10175626759619251, 1.0, 0.008522727272727272, 0.9497487437185929, 0.01585529254131308]","[[0.016, 0.28, 0.011, 0.19, 0.0093], [3, 0, 0, 3, 0], [0.10175626759619251, 1.0, 0.008522727272727272, 0.9497487437185929, 0.01585529254131308]]"
AG699,"[7222, 31252]","[0.1, 0.01]","['pg', 'pg']","[360, 163]","[0, 0]","[94, 41]","[1.0, 0.00900900900900901]","[[0.1, 0.01], [0, 0], [1.0, 0.00900900900900901]]"
AG724,"[7410, 439570, 8051, 240, 4133]","[0.28, 0.3, 0.38, 0.0099, 0.039]","['pg', 'paraffin oil', 'paraffin oil', 'pg', 'paraffin oil']","[384, 215, 471, 150, 207]","[0, 3, 3, 0, 3]","[100, 50, 124, 37, 49]","[1.0, 0.49579831932773105, 1.0, 0.02460369055358304, 0.1909547738693467]","[[0.28, 0.3, 0.38, 0.0099, 0.039], [0, 3, 3, 0, 3], [1.0, 0.49579831932773105, 1.0, 0.02460369055358304, 0.1909547738693467]]"
AG732,"[1140, 31252]","[0.01, 0.01]","['pg', 'pg']","[60, 163]","[0, 0]","[10, 41]","[1.0, 0.00900900900900901]","[[0.01, 0.01], [0, 0], [1.0, 0.00900900900900901]]"
AG742,"[6549, 7410, 10400]","[0.031, 0.14, 0.19]","['paraffin oil', 'pg', 'paraffin oil']","[320, 383, 19]","[3, 0, 3]","[81, 100, 1]","[0.20230593913393213, 0.4982078853046595, 0.9497487437185929]","[[0.031, 0.14, 0.19], [3, 0, 3], [0.20230593913393213, 0.4982078853046595, 0.9497487437185929]]"
AG805,"[7222, 8051]","[0.1, 0.001]","['pg', 'paraffin oil']","[360, 463]","[0, 3]","[94, 124]","[1.0, 0.0013175230566534915]","[[0.1, 0.001], [0, 3], [1.0, 0.0013175230566534915]]"
AG810,"[76322, 7770]","[0.1, 0.001]","['pg', 'pg']","[388, 415]","[0, 0]","[103, 108]","[1.0, 1.0]","[[0.1, 0.001], [0, 0], [1.0, 1.0]]"
AG862,"[6549, 7410, 6920, 10400, 14514]","[0.15, 0.033, 0.011, 0.098, 0.0093]","['paraffin oil', 'pg', 'pg', 'paraffin oil', 'pg']","[322, 382, 332, 18, 113]","[3, 0, 0, 3, 0]","[81, 100, 85, 1, 25]","[1.0, 0.1146953405017921, 0.008522727272727272, 0.4874371859296482, 0.01585529254131308]","[[0.15, 0.033, 0.011, 0.098, 0.0093], [3, 0, 0, 3, 0], [1.0, 0.1146953405017921, 0.008522727272727272, 0.4874371859296482, 0.01585529254131308]]"
AG869,"[31252, 6920]","[0.01, 0.07]","['pg', 'pg']","[163, 334]","[0, 0]","[41, 85]","[0.00900900900900901, 0.17613636363636367]","[[0.01, 0.07], [0, 0], [0.00900900900900901, 0.17613636363636367]]"
AG874,"[7410, 439570, 8051, 240, 4133]","[0.28, 0.2, 0.005, 0.024, 0.04]","['pg', 'paraffin oil', 'paraffin oil', 'pg', 'paraffin oil']","[384, 214, 464, 151, 208]","[0, 3, 3, 0, 3]","[100, 50, 124, 37, 49]","[1.0, 0.3277310924369748, 0.011857707509881424, 0.059858978846827025, 0.19597989949748743]","[[0.28, 0.2, 0.005, 0.024, 0.04], [0, 3, 3, 0, 3], [1.0, 0.3277310924369748, 0.011857707509881424, 0.059858978846827025, 0.19597989949748743]]"
AG875,"[7410, 5365027, 10400, 4133, 15037]","[0.28, 0.0083, 0.098, 0.15, 0.03]","['pg', 'paraffin oil', 'paraffin oil', 'paraffin oil', 'dep']","[384, 252, 18, 209, 117]","[0, 3, 3, 3, 1]","[100, 64, 1, 49, 26]","[1.0, 0.024414715719063545, 0.4874371859296482, 0.7487437185929647, 0.0202020202020202]","[[0.28, 0.0083, 0.098, 0.15, 0.03], [0, 3, 3, 3, 1], [1.0, 0.024414715719063545, 0.4874371859296482, 0.7487437185929647, 0.0202020202020202]]"
AG945,"[7335, 8051]","[0.1, 0.001]","['pg', 'paraffin oil']","[364, 463]","[0, 3]","[96, 124]","[1.0, 0.0013175230566534915]","[[0.1, 0.001], [0, 3], [1.0, 0.0013175230566534915]]"
AG982,"[7410, 439570, 10400]","[0.28, 0.6, 0.098]","['pg', 'paraffin oil', 'paraffin oil']","[384, 217, 18]","[0, 3, 3]","[100, 50, 1]","[1.0, 1.0, 0.4874371859296482]","[[0.28, 0.6, 0.098], [0, 3, 3], [1.0, 1.0, 0.4874371859296482]]"
AG989,"[6549, 7410, 6920, 10400, 14514]","[0.00082, 0.28, 0.023, 0.19, 0.0022]","['paraffin oil', 'pg', 'pg', 'paraffin oil', 'pg']","[317, 384, 333, 19, 112]","[3, 0, 0, 3, 0]","[81, 100, 85, 1, 25]","[0.0, 1.0, 0.04261363636363637, 0.9497487437185929, 0.0]","[[0.00082, 0.28, 0.023, 0.19, 0.0022], [3, 0, 0, 3, 0], [0.0, 1.0, 0.04261363636363637, 0.9497487437185929, 0.0]]"
AH007,"[6920, 8051, 8892]","[0.36, 0.38, 0.11]","['pg', 'paraffin oil', 'pg']","[338, 471, 522]","[0, 3, 0]","[85, 124, 138]","[1.0, 1.0, 0.10372608257804632]","[[0.36, 0.38, 0.11], [0, 3, 0], [1.0, 1.0, 0.10372608257804632]]"
AH022,"[7410, 12297]","[0.01, 0.001]","['pg', 'pg']","[381, 84]","[0, 0]","[100, 18]","[0.03225806451612903, 0.0]","[[0.01, 0.001], [0, 0], [0.03225806451612903, 0.0]]"
AH100,"[6920, 8051, 8892]","[0.091, 0.38, 0.83]","['pg', 'paraffin oil', 'pg']","[335, 471, 524]","[0, 3, 0]","[85, 124, 138]","[0.23579545454545456, 1.0, 0.8288016112789526]","[[0.091, 0.38, 0.83], [0, 3, 0], [0.23579545454545456, 1.0, 0.8288016112789526]]"
AH174,"[7410, 31252, 8051]","[0.28, 0.007, 0.21]","['pg', 'pg', 'paraffin oil']","[384, 161, 468]","[0, 0, 3]","[100, 41, 124]","[1.0, 0.006006006006006007, 0.5520421607378129]","[[0.28, 0.007, 0.21], [0, 0, 3], [1.0, 0.006006006006006007, 0.5520421607378129]]"
AH189,"[62444, 10890]","[0.001, 0.05]","['pg', 'paraffin oil']","[282, 45]","[0, 3]","[73, 6]","[1.0, 0.07964601769911506]","[[0.001, 0.05], [0, 3], [1.0, 0.07964601769911506]]"
AH199,"[5362720, 8892]","[0.015, 0.04]","['pg', 'pg']","[244, 520]","[0, 0]","[61, 138]","[0.3622448979591837, 0.03323262839879154]","[[0.015, 0.04], [0, 0], [0.3622448979591837, 0.03323262839879154]]"
AH203,"[7410, 439570, 31252, 6920, 8051, 10890, 5365027, 10400, 10882, 8892]","[0.033, 0.2, 0.069, 0.023, 0.38, 0.0091, 0.024, 0.024, 0.0047, 0.83]","['pg', 'paraffin oil', 'pg', 'pg', 'paraffin oil', 'paraffin oil', 'paraffin oil', 'paraffin oil', 'paraffin oil', 'pg']","[382, 214, 165, 333, 471, 42, 255, 15, 32, 524]","[0, 3, 0, 0, 3, 3, 3, 3, 3, 0]","[100, 50, 41, 85, 124, 6, 64, 1, 4, 138]","[0.1146953405017921, 0.3277310924369748, 0.06806806806806807, 0.04261363636363637, 1.0, 0.007256637168141594, 0.07692307692307693, 0.11557788944723617, 0.15384615384615385, 0.8288016112789526]","[[0.033, 0.2, 0.069, 0.023, 0.38, 0.0091, 0.024, 0.024, 0.0047, 0.83], [0, 3, 0, 0, 3, 3, 3, 3, 3, 0], [0.1146953405017921, 0.3277310924369748, 0.06806806806806807, 0.04261363636363637, 1.0, 0.007256637168141594, 0.07692307692307693, 0.11557788944723617, 0.15384615384615385, 0.8288016112789526]]"
AH254,"[7410, 6920]","[0.01, 0.07]","['pg', 'pg']","[381, 334]","[0, 0]","[100, 85]","[0.03225806451612903, 0.17613636363636367]","[[0.01, 0.07], [0, 0], [0.03225806451612903, 0.17613636363636367]]"
AH263,"[76322, 12297]","[0.1, 0.001]","['pg', 'pg']","[388, 84]","[0, 0]","[103, 18]","[1.0, 0.0]","[[0.1, 0.001], [0, 0], [1.0, 0.0]]"
AH269,"[16590, 12206]","[0.001, 0.001]","['pg', 'pg']","[121, 83]","[0, 0]","[28, 17]","[1.0, 1.0]","[[0.001, 0.001], [0, 0], [1.0, 1.0]]"
AH286,"[7410, 5365027, 10400, 4133, 15037]","[0.28, 0.0012, 0.19, 0.039, 0.03]","['pg', 'paraffin oil', 'paraffin oil', 'paraffin oil', 'dep']","[384, 250, 19, 207, 117]","[0, 3, 3, 3, 1]","[100, 64, 1, 49, 26]","[1.0, 0.0006688963210702336, 0.9497487437185929, 0.1909547738693467, 0.0202020202020202]","[[0.28, 0.0012, 0.19, 0.039, 0.03], [0, 3, 3, 3, 1], [1.0, 0.0006688963210702336, 0.9497487437185929, 0.1909547738693467, 0.0202020202020202]]"
AH291,"[62444, 10400]","[0.001, 0.03]","['pg', 'paraffin oil']","[282, 16]","[0, 3]","[73, 1]","[1.0, 0.14572864321608037]","[[0.001, 0.03], [0, 3], [1.0, 0.14572864321608037]]"
AH342,"[5362720, 12206]","[0.015, 0.001]","['pg', 'pg']","[244, 83]","[0, 0]","[61, 17]","[0.3622448979591837, 1.0]","[[0.015, 0.001], [0, 0], [0.3622448979591837, 1.0]]"
AH402,"[7770, 10400]","[0.001, 0.03]","['pg', 'paraffin oil']","[415, 16]","[0, 3]","[108, 1]","[1.0, 0.14572864321608037]","[[0.001, 0.03], [0, 3], [1.0, 0.14572864321608037]]"
AH445,"[62444, 12206]","[0.001, 0.001]","['pg', 'pg']","[282, 83]","[0, 0]","[73, 17]","[1.0, 1.0]","[[0.001, 0.001], [0, 0], [1.0, 1.0]]"
AH447,"[12297, 31252]","[0.001, 0.01]","['pg', 'pg']","[84, 163]","[0, 0]","[18, 41]","[0.0, 0.00900900900900901]","[[0.001, 0.01], [0, 0], [0.0, 0.00900900900900901]]"
AH448,"[61527, 10890]","[0.001, 0.05]","['pg', 'paraffin oil']","[264, 45]","[0, 3]","[67, 6]","[0.0, 0.07964601769911506]","[[0.001, 0.05], [0, 3], [0.0, 0.07964601769911506]]"
AH489,"[6920, 8892]","[0.07, 0.04]","['pg', 'pg']","[334, 520]","[0, 0]","[85, 138]","[0.17613636363636367, 0.03323262839879154]","[[0.07, 0.04], [0, 0], [0.17613636363636367, 0.03323262839879154]]"
AH541,"[7770, 10890]","[0.001, 0.05]","['pg', 'paraffin oil']","[415, 45]","[0, 3]","[108, 6]","[1.0, 0.07964601769911506]","[[0.001, 0.05], [0, 3], [1.0, 0.07964601769911506]]"
AH552,"[12206, 61527]","[0.001, 0.001]","['pg', 'pg']","[83, 264]","[0, 0]","[17, 67]","[1.0, 0.0]","[[0.001, 0.001], [0, 0], [1.0, 0.0]]"
AH564,"[16590, 8892]","[0.001, 0.04]","['pg', 'pg']","[121, 520]","[0, 0]","[28, 138]","[1.0, 0.03323262839879154]","[[0.001, 0.04], [0, 0], [1.0, 0.03323262839879154]]"
AH568,"[16590, 10890]","[0.001, 0.05]","['pg', 'paraffin oil']","[121, 45]","[0, 3]","[28, 6]","[1.0, 0.07964601769911506]","[[0.001, 0.05], [0, 3], [1.0, 0.07964601769911506]]"
AH588,"[5362720, 10400]","[0.015, 0.03]","['pg', 'paraffin oil']","[244, 16]","[0, 3]","[61, 1]","[0.3622448979591837, 0.14572864321608037]","[[0.015, 0.03], [0, 3], [0.3622448979591837, 0.14572864321608037]]"
AH608,"[61527, 8892]","[0.001, 0.04]","['pg', 'pg']","[264, 520]","[0, 0]","[67, 138]","[0.0, 0.03323262839879154]","[[0.001, 0.04], [0, 0], [0.0, 0.03323262839879154]]"
AH612,"[6920, 10400]","[0.07, 0.03]","['pg', 'paraffin oil']","[334, 16]","[0, 3]","[85, 1]","[0.17613636363636367, 0.14572864321608037]","[[0.07, 0.03], [0, 3], [0.17613636363636367, 0.14572864321608037]]"
AH664,"[6920, 8051, 8892]","[0.091, 0.21, 1.0]","['pg', 'paraffin oil', 'nt']","[335, 468, 525]","[0, 3, 2]","[85, 124, 138]","[0.23579545454545456, 0.5520421607378129, 1.0]","[[0.091, 0.21, 1.0], [0, 3, 2], [0.23579545454545456, 0.5520421607378129, 1.0]]"
AH666,"[7410, 7770]","[0.01, 0.001]","['pg', 'pg']","[381, 415]","[0, 0]","[100, 108]","[0.03225806451612903, 1.0]","[[0.01, 0.001], [0, 0], [0.03225806451612903, 1.0]]"
AH674,"[62444, 8892]","[0.001, 0.04]","['pg', 'pg']","[282, 520]","[0, 0]","[73, 138]","[1.0, 0.03323262839879154]","[[0.001, 0.04], [0, 0], [1.0, 0.03323262839879154]]"
AH677,"[12810, 12206]","[1.0, 0.001]","['nt', 'pg']","[96, 83]","[2, 0]","[21, 17]","[1.0, 1.0]","[[1.0, 0.001], [2, 0], [1.0, 1.0]]"
AH702,"[7335, 10890]","[0.1, 0.05]","['pg', 'paraffin oil']","[364, 45]","[0, 3]","[96, 6]","[1.0, 0.07964601769911506]","[[0.1, 0.05], [0, 3], [1.0, 0.07964601769911506]]"
AH720,"[7410, 31252, 8051]","[0.28, 0.007, 0.38]","['pg', 'pg', 'paraffin oil']","[384, 161, 471]","[0, 0, 3]","[100, 41, 124]","[1.0, 0.006006006006006007, 1.0]","[[0.28, 0.007, 0.38], [0, 0, 3], [1.0, 0.006006006006006007, 1.0]]"
AH733,"[16590, 10400]","[0.001, 0.03]","['pg', 'paraffin oil']","[121, 16]","[0, 3]","[28, 1]","[1.0, 0.14572864321608037]","[[0.001, 0.03], [0, 3], [1.0, 0.14572864321608037]]"
AH765,"[6920, 10890]","[0.07, 0.05]","['pg', 'paraffin oil']","[334, 45]","[0, 3]","[85, 6]","[0.17613636363636367, 0.07964601769911506]","[[0.07, 0.05], [0, 3], [0.17613636363636367, 0.07964601769911506]]"
AH771,"[12297, 10890]","[0.001, 0.05]","['pg', 'paraffin oil']","[84, 45]","[0, 3]","[18, 6]","[0.0, 0.07964601769911506]","[[0.001, 0.05], [0, 3], [0.0, 0.07964601769911506]]"
AH817,"[61527, 10400]","[0.001, 0.03]","['pg', 'paraffin oil']","[264, 16]","[0, 3]","[67, 1]","[0.0, 0.14572864321608037]","[[0.001, 0.03], [0, 3], [0.0, 0.14572864321608037]]"
AH866,"[12297, 8051]","[0.001, 0.001]","['pg', 'paraffin oil']","[84, 463]","[0, 3]","[18, 124]","[0.0, 0.0013175230566534915]","[[0.001, 0.001], [0, 3], [0.0, 0.0013175230566534915]]"
AH877,"[6920, 8051, 8892]","[0.36, 0.38, 1.0]","['pg', 'paraffin oil', 'nt']","[338, 471, 525]","[0, 3, 2]","[85, 124, 138]","[1.0, 1.0, 1.0]","[[0.36, 0.38, 1.0], [0, 3, 2], [1.0, 1.0, 1.0]]"
AH941,"[7410, 5365027, 10400, 4133, 15037]","[0.28, 0.011, 0.19, 0.039, 0.15]","['pg', 'paraffin oil', 'paraffin oil', 'paraffin oil', 'dep']","[384, 254, 19, 207, 118]","[0, 3, 3, 3, 1]","[100, 64, 1, 49, 26]","[1.0, 0.0334448160535117, 0.9497487437185929, 0.1909547738693467, 0.1414141414141414]","[[0.28, 0.011, 0.19, 0.039, 0.15], [0, 3, 3, 3, 1], [1.0, 0.0334448160535117, 0.9497487437185929, 0.1909547738693467, 0.1414141414141414]]"
AH997,"[18635, 8892]","[0.001, 0.04]","['pg', 'pg']","[126, 520]","[0, 0]","[30, 138]","[0.09954977488744372, 0.03323262839879154]","[[0.001, 0.04], [0, 0], [0.09954977488744372, 0.03323262839879154]]"
AI029,[8025],[0.05],['dep'],[457],[1],[121],[0.10352187833511207],"[[0.05], [1], [0.10352187833511207]]"
AI094,[7749],[0.01],['dep'],[398],[1],[105],[0.17808219178082196],"[[0.01], [1], [0.17808219178082196]]"
AI098,"[12180, 9589]","[0.01, 0.2]","['dep', 'pg']","[78, 530]","[1, 0]","[16, 143]","[0.041916167664670656, 1.0]","[[0.01, 0.2], [1, 0], [0.041916167664670656, 1.0]]"
AI130,"[79104, 8858]","[0.3, 0.01]","['pg', 'dep']","[433, 514]","[0, 1]","[114, 137]","[1.0, 0.19913419913419914]","[[0.3, 0.01], [0, 1], [1.0, 0.19913419913419914]]"
AI142,"[7762, 3314, 14286, 7165, 10890, 8858, 7793, 7888, 7344, 12367]","[0.0008, 0.14, 0.008, 0.01, 0.03, 0.02, 0.08, 0.6, 0.012, 0.03]","['dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep']","[410, 203, 102, 356, 43, 516, 421, 430, 368, 85]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[106, 48, 24, 93, 6, 137, 110, 111, 98, 19]","[0.0, 0.6923076923076923, 0.07907907907907909, 0.16114790286975716, 0.04424778761061947, 0.41558441558441567, 0.15492957746478872, 1.0, 0.035897435897435895, 0.0]","[[0.0008, 0.14, 0.008, 0.01, 0.03, 0.02, 0.08, 0.6, 0.012, 0.03], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [0.0, 0.6923076923076923, 0.07907907907907909, 0.16114790286975716, 0.04424778761061947, 0.41558441558441567, 0.15492957746478872, 1.0, 0.035897435897435895, 0.0]]"
AI170,"[3314, 79104]","[0.1, 0.3]","['dep', 'pg']","[200, 433]","[1, 0]","[48, 114]","[0.48717948717948717, 1.0]","[[0.1, 0.3], [1, 0], [0.48717948717948717, 1.0]]"
AI205,"[7165, 5365027]","[0.01, 0.01]","['pg', 'paraffin oil']","[357, 253]","[0, 3]","[93, 64]","[0.16114790286975716, 0.03010033444816054]","[[0.01, 0.01], [0, 3], [0.16114790286975716, 0.03010033444816054]]"
AI216,"[7762, 9589]","[0.01, 0.2]","['dep', 'pg']","[404, 530]","[1, 0]","[106, 143]","[0.09274193548387095, 1.0]","[[0.01, 0.2], [1, 0], [0.09274193548387095, 1.0]]"
AI242,"[7762, 3314, 14286, 7165, 10890, 8858, 7793, 7888, 7344, 12367]","[0.002, 0.045, 0.0005, 0.007, 0.18, 0.047, 0.01, 0.07, 0.005, 0.12]","['dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep']","[402, 199, 111, 355, 49, 517, 419, 426, 367, 90]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[106, 48, 24, 93, 6, 137, 110, 111, 98, 19]","[0.012096774193548387, 0.20512820512820512, 0.004004004004004004, 0.09492273730684327, 0.30973451327433627, 1.0, 0.01408450704225352, 0.07017543859649125, 0.0, 0.6]","[[0.002, 0.045, 0.0005, 0.007, 0.18, 0.047, 0.01, 0.07, 0.005, 0.12], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [0.012096774193548387, 0.20512820512820512, 0.004004004004004004, 0.09492273730684327, 0.30973451327433627, 1.0, 0.01408450704225352, 0.07017543859649125, 0.0, 0.6]]"
AI273,"[7921, 12180, 31265, 326, 10882, 8025, 7749, 7150, 5281515, 7654]","[0.5, 0.04, 0.002, 0.08, 0.0076, 0.04, 0.008, 0.08, 0.01, 0.8]","['dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep']","[440, 80, 174, 191, 33, 456, 397, 353, 233, 394]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[116, 16, 43, 47, 4, 121, 105, 92, 57, 104]","[0.4974874371859296, 0.22155688622754488, 0.01901901901901902, 0.2654424040066778, 0.2508361204013378, 0.08217716115261474, 0.12328767123287673, 1.0, 0.0, 1.0]","[[0.5, 0.04, 0.002, 0.08, 0.0076, 0.04, 0.008, 0.08, 0.01, 0.8], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [0.4974874371859296, 0.22155688622754488, 0.01901901901901902, 0.2654424040066778, 0.2508361204013378, 0.08217716115261474, 0.12328767123287673, 1.0, 0.0, 1.0]]"
AI292,[326],[0.1],['dep'],[192],[1],[47],[0.332220367278798],"[[0.1], [1], [0.332220367278798]]"
AI304,"[7921, 5365027]","[1.0, 0.01]","['nt', 'paraffin oil']","[441, 253]","[2, 3]","[116, 64]","[1.0, 0.03010033444816054]","[[1.0, 0.01], [2, 3], [1.0, 0.03010033444816054]]"
AI338,"[31252, 10882]","[0.01, 0.001]","['pg', 'paraffin oil']","[163, 31]","[0, 3]","[41, 4]","[0.00900900900900901, 0.030100334448160536]","[[0.01, 0.001], [0, 3], [0.00900900900900901, 0.030100334448160536]]"
AI342,"[9589, 7150]","[0.2, 0.05]","['pg', 'dep']","[530, 352]","[0, 1]","[143, 92]","[1.0, 0.6245306633291615]","[[0.2, 0.05], [0, 1], [1.0, 0.6245306633291615]]"
AI347,"[7762, 3314, 14286, 7165, 10890, 8858, 7793, 7888, 7344, 12367]","[0.05, 0.015, 0.0001, 0.02, 0.1, 0.005, 0.04, 0.25, 0.2, 0.05]","['dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep']","[407, 197, 109, 358, 48, 512, 420, 428, 373, 86]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[106, 48, 24, 93, 6, 137, 110, 111, 98, 19]","[0.4959677419354839, 0.051282051282051266, 0.0, 0.3818984547461368, 0.168141592920354, 0.09090909090909091, 0.07444668008048289, 0.3859649122807018, 1.0, 0.13333333333333336]","[[0.05, 0.015, 0.0001, 0.02, 0.1, 0.005, 0.04, 0.25, 0.2, 0.05], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [0.4959677419354839, 0.051282051282051266, 0.0, 0.3818984547461368, 0.168141592920354, 0.09090909090909091, 0.07444668008048289, 0.3859649122807018, 1.0, 0.13333333333333336]]"
AI376,"[7762, 3314, 14286, 7165, 10890, 8858, 7793, 7888, 7344, 12367]","[0.008, 0.11, 0.07, 0.0027, 0.005, 0.007, 0.003, 0.2, 0.17, 0.08]","['dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep']","[403, 202, 107, 354, 39, 513, 418, 427, 372, 87]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[106, 48, 24, 93, 6, 137, 110, 111, 98, 19]","[0.07258064516129031, 0.5384615384615384, 0.6996996996996997, 0.0, 0.0, 0.1341991341991342, 0.0, 0.29824561403508776, 0.8461538461538461, 0.33333333333333337]","[[0.008, 0.11, 0.07, 0.0027, 0.005, 0.007, 0.003, 0.2, 0.17, 0.08], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [0.07258064516129031, 0.5384615384615384, 0.6996996996996997, 0.0, 0.0, 0.1341991341991342, 0.0, 0.29824561403508776, 0.8461538461538461, 0.33333333333333337]]"
AI453,"[7921, 12180, 31265, 326, 10882, 8025, 7749, 7150, 5281515, 7654]","[0.04, 0.007, 0.04, 0.005, 0.03, 0.006, 0.01, 0.003, 0.4, 0.3]","['dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep']","[437, 77, 176, 188, 36, 455, 398, 349, 238, 392]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[116, 16, 43, 47, 4, 121, 105, 92, 57, 104]","[0.035175879396984924, 0.02395209580838323, 0.3993993993993994, 0.015025041736227047, 1.0, 0.009605122732123801, 0.17808219178082196, 0.0362953692115144, 1.0, 0.3686868686868686]","[[0.04, 0.007, 0.04, 0.005, 0.03, 0.006, 0.01, 0.003, 0.4, 0.3], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [0.035175879396984924, 0.02395209580838323, 0.3993993993993994, 0.015025041736227047, 1.0, 0.009605122732123801, 0.17808219178082196, 0.0362953692115144, 1.0, 0.3686868686868686]]"
AI505,"[79104, 5281515]","[0.3, 0.3]","['pg', 'dep']","[433, 237]","[0, 1]","[114, 57]","[1.0, 0.7435897435897435]","[[0.3, 0.3], [0, 1], [1.0, 0.7435897435897435]]"
AI570,"[11552, 7344]","[0.01, 0.15]","['pg', 'dep']","[65, 370]","[0, 1]","[12, 98]","[0.09547738693467335, 0.7435897435897435]","[[0.01, 0.15], [0, 1], [0.09547738693467335, 0.7435897435897435]]"
AI610,[5281515],[0.3],['dep'],[237],[1],[57],[0.7435897435897435],"[[0.3], [1], [0.7435897435897435]]"
AI614,[7165],[0.01],['dep'],[356],[1],[93],[0.16114790286975716],"[[0.01], [1], [0.16114790286975716]]"
AI635,"[31252, 8025]","[0.01, 0.05]","['pg', 'dep']","[163, 457]","[0, 1]","[41, 121]","[0.00900900900900901, 0.10352187833511207]","[[0.01, 0.05], [0, 1], [0.00900900900900901, 0.10352187833511207]]"
AI636,[7921],[1.0],['nt'],[441],[2],[116],[1.0],"[[1.0], [2], [1.0]]"
AI665,"[7921, 12180, 31265, 326, 10882, 8025, 7749, 7150, 5281515, 7654]","[0.15, 0.003, 0.001, 0.05, 0.001, 0.0015, 0.0035, 0.02, 0.11, 0.5]","['dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep', 'dep']","[439, 75, 173, 190, 30, 454, 395, 351, 236, 393]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[116, 16, 43, 47, 4, 121, 105, 92, 57, 104]","[0.14572864321608037, 0.0, 0.009009009009009009, 0.1652754590984975, 0.030100334448160536, 0.0, 0.0, 0.24906132665832292, 0.2564102564102564, 0.6212121212121212]","[[0.15, 0.003, 0.001, 0.05, 0.001, 0.0015, 0.0035, 0.02, 0.11, 0.5], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [0.14572864321608037, 0.0, 0.009009009009009009, 0.1652754590984975, 0.030100334448160536, 0.0, 0.0, 0.24906132665832292, 0.2564102564102564, 0.6212121212121212]]"
